RegionCode,RegionName,CountryCode,CountryName,Year,SuicideCount,DeathRatePer100K
EU,Europe,ALB,Albania,2008,0,0
EU,Europe,ALB,Albania,2008,0,0
EU,Europe,ALB,Albania,2008,0,0
EU,Europe,ALB,Albania,2008,7,503669593
EU,Europe,ALB,Albania,2008,7,455907255
EU,Europe,ALB,Albania,2008,4,300385996
EU,Europe,ALB,Albania,2008,11,1195886152
EU,Europe,ALB,Albania,2008,10,1236506622
EU,Europe,ALB,Albania,2008,10,1149398864
EU,Europe,ALB,Albania,2008,10,1061199368
EU,Europe,ALB,Albania,2008,10,951257563
EU,Europe,ALB,Albania,2008,7,771264874
EU,Europe,ALB,Albania,2008,11,1481960499
EU,Europe,ALB,Albania,2008,2,354371168
EU,Europe,ALB,Albania,2008,3,546080055
EU,Europe,ALB,Albania,2008,5,1160873906
EU,Europe,ALB,Albania,2008,2,756544107
EU,Europe,ALB,Albania,2008,0,0
EU,Europe,ALB,Albania,2008,0,0
EU,Europe,ALB,Albania,2008,0,0
EU,Europe,ALB,Albania,2008,0,0
EU,Europe,ALB,Albania,2008,0,0
EU,Europe,ALB,Albania,2008,1,74977694
EU,Europe,ALB,Albania,2008,14,938501347
EU,Europe,ALB,Albania,2008,6,472816965
EU,Europe,ALB,Albania,2008,3,317332713
EU,Europe,ALB,Albania,2008,6,680851064
EU,Europe,ALB,Albania,2008,4,412937326
EU,Europe,ALB,Albania,2008,4,392776834
EU,Europe,ALB,Albania,2008,6,568714988
EU,Europe,ALB,Albania,2008,5,557880056
EU,Europe,ALB,Albania,2008,3,409684952
EU,Europe,ALB,Albania,2008,3,551551699
EU,Europe,ALB,Albania,2008,1,176600442
EU,Europe,ALB,Albania,2008,0,0
EU,Europe,ALB,Albania,2008,2,6792094
EU,Europe,ALB,Albania,2008,2,1165840863
EU,Europe,ALB,Albania,2008,1,78320802
EU,Europe,ALB,Albania,2009,0,0
EU,Europe,ALB,Albania,2009,0,0
EU,Europe,ALB,Albania,2009,0,0
EU,Europe,ALB,Albania,2009,0,0
EU,Europe,ALB,Albania,2009,0,0
EU,Europe,ALB,Albania,2009,0,0
EU,Europe,ALB,Albania,2009,0,0
EU,Europe,ALB,Albania,2009,0,0
EU,Europe,ALB,Albania,2009,0,0
EU,Europe,ALB,Albania,2009,0,0
EU,Europe,ALB,Albania,2009,0,0
EU,Europe,ALB,Albania,2009,0,0
EU,Europe,ALB,Albania,2009,0,0
EU,Europe,ALB,Albania,2009,0,0
EU,Europe,ALB,Albania,2009,0,0
EU,Europe,ALB,Albania,2009,0,0
EU,Europe,ALB,Albania,2009,0,0
EU,Europe,ALB,Albania,2009,0,0
EU,Europe,ALB,Albania,2009,0,0
EU,Europe,ALB,Albania,2009,0,0
EU,Europe,ALB,Albania,2009,0,0
EU,Europe,ALB,Albania,2009,0,0
EU,Europe,ALB,Albania,2009,0,0
EU,Europe,ALB,Albania,2009,0,0
EU,Europe,ALB,Albania,2009,0,0
EU,Europe,ALB,Albania,2009,0,0
EU,Europe,ALB,Albania,2009,0,0
EU,Europe,ALB,Albania,2009,0,0
EU,Europe,ALB,Albania,2009,0,0
EU,Europe,ALB,Albania,2009,0,0
EU,Europe,ALB,Albania,2009,0,0
EU,Europe,ALB,Albania,2009,0,0
EU,Europe,ALB,Albania,2009,0,0
EU,Europe,ALB,Albania,2009,0,0
EU,Europe,ALB,Albania,2009,0,0
EU,Europe,ALB,Albania,2009,0,0
EU,Europe,ALB,Albania,2009,0,0
EU,Europe,ALB,Albania,2009,0,0
EU,Europe,ALB,Albania,2010,0,0
EU,Europe,ALB,Albania,2010,0,0
EU,Europe,ALB,Albania,2010,0,0
EU,Europe,ALB,Albania,2010,0,0
EU,Europe,ALB,Albania,2010,2,137111204
EU,Europe,ALB,Albania,2010,8,598618687
EU,Europe,ALB,Albania,2010,8,803124153
EU,Europe,ALB,Albania,2010,1,124829919
EU,Europe,ALB,Albania,2010,3,367561475
EU,Europe,ALB,Albania,2010,5,552053085
EU,Europe,ALB,Albania,2010,7,6847707
EU,Europe,ALB,Albania,2010,5,514419169
EU,Europe,ALB,Albania,2010,10,1264222503
EU,Europe,ALB,Albania,2010,3,48144047
EU,Europe,ALB,Albania,2010,2,364464692
EU,Europe,ALB,Albania,2010,5,1097357563
EU,Europe,ALB,Albania,2010,2,680457267
EU,Europe,ALB,Albania,2010,0,0
EU,Europe,ALB,Albania,2010,0,0
EU,Europe,ALB,Albania,2010,0,0
EU,Europe,ALB,Albania,2010,0,0
EU,Europe,ALB,Albania,2010,0,0
EU,Europe,ALB,Albania,2010,2,162040413
EU,Europe,ALB,Albania,2010,3,211111502
EU,Europe,ALB,Albania,2010,3,246962363
EU,Europe,ALB,Albania,2010,1,103057723
EU,Europe,ALB,Albania,2010,5,577727451
EU,Europe,ALB,Albania,2010,1,108707468
EU,Europe,ALB,Albania,2010,5,498997016
EU,Europe,ALB,Albania,2010,2,189958779
EU,Europe,ALB,Albania,2010,4,411878578
EU,Europe,ALB,Albania,2010,2,25398438
EU,Europe,ALB,Albania,2010,2,326738658
EU,Europe,ALB,Albania,2010,3,543251906
EU,Europe,ALB,Albania,2010,0,0
EU,Europe,ALB,Albania,2010,1,31445552
EU,Europe,ALB,Albania,2010,1,535188654
EU,Europe,ALB,Albania,2010,0,0
EU,Europe,ALB,Albania,2007,0,0
EU,Europe,ALB,Albania,2007,0,0
EU,Europe,ALB,Albania,2007,0,0
EU,Europe,ALB,Albania,2007,4,279121048
EU,Europe,ALB,Albania,2007,5,317991312
EU,Europe,ALB,Albania,2007,8,610165355
EU,Europe,ALB,Albania,2007,5,554698854
EU,Europe,ALB,Albania,2007,4,485702143
EU,Europe,ALB,Albania,2007,4,44187665
EU,Europe,ALB,Albania,2007,8,829858302
EU,Europe,ALB,Albania,2007,9,859787728
EU,Europe,ALB,Albania,2007,8,919286634
EU,Europe,ALB,Albania,2007,6,823135598
EU,Europe,ALB,Albania,2007,4,708981017
EU,Europe,ALB,Albania,2007,1,187052244
EU,Europe,ALB,Albania,2007,3,724847782
EU,Europe,ALB,Albania,2007,3,1173892628
EU,Europe,ALB,Albania,2007,1,933096949
EU,Europe,ALB,Albania,2007,4,6564910553
EU,Europe,ALB,Albania,2007,0,0
EU,Europe,ALB,Albania,2007,0,0
EU,Europe,ALB,Albania,2007,0,0
EU,Europe,ALB,Albania,2007,0,0
EU,Europe,ALB,Albania,2007,9,590496936
EU,Europe,ALB,Albania,2007,4,31088244
EU,Europe,ALB,Albania,2007,7,748087035
EU,Europe,ALB,Albania,2007,1,111040785
EU,Europe,ALB,Albania,2007,1,100042018
EU,Europe,ALB,Albania,2007,3,293086099
EU,Europe,ALB,Albania,2007,7,672378684
EU,Europe,ALB,Albania,2007,3,351345654
EU,Europe,ALB,Albania,2007,3,418275867
EU,Europe,ALB,Albania,2007,5,917734298
EU,Europe,ALB,Albania,2007,0,0
EU,Europe,ALB,Albania,2007,1,245815
EU,Europe,ALB,Albania,2007,0,0
EU,Europe,ALB,Albania,2007,2,1230920729
EU,Europe,ALB,Albania,2007,1,799296619
EU,Europe,ALB,Albania,2006,0,0
EU,Europe,ALB,Albania,2006,0,0
EU,Europe,ALB,Albania,2006,0,0
EU,Europe,ALB,Albania,2006,0,0
EU,Europe,ALB,Albania,2006,0,0
EU,Europe,ALB,Albania,2006,0,0
EU,Europe,ALB,Albania,2006,0,0
EU,Europe,ALB,Albania,2006,0,0
EU,Europe,ALB,Albania,2006,0,0
EU,Europe,ALB,Albania,2006,0,0
EU,Europe,ALB,Albania,2006,0,0
EU,Europe,ALB,Albania,2006,0,0
EU,Europe,ALB,Albania,2006,0,0
EU,Europe,ALB,Albania,2006,0,0
EU,Europe,ALB,Albania,2006,0,0
EU,Europe,ALB,Albania,2006,0,0
EU,Europe,ALB,Albania,2006,0,0
EU,Europe,ALB,Albania,2006,0,0
EU,Europe,ALB,Albania,2006,0,0
EU,Europe,ALB,Albania,2006,0,0
EU,Europe,ALB,Albania,2006,0,0
EU,Europe,ALB,Albania,2006,0,0
EU,Europe,ALB,Albania,2006,0,0
EU,Europe,ALB,Albania,2006,0,0
EU,Europe,ALB,Albania,2006,0,0
EU,Europe,ALB,Albania,2006,0,0
EU,Europe,ALB,Albania,2006,0,0
EU,Europe,ALB,Albania,2006,0,0
EU,Europe,ALB,Albania,2006,0,0
EU,Europe,ALB,Albania,2006,0,0
EU,Europe,ALB,Albania,2006,0,0
EU,Europe,ALB,Albania,2006,0,0
EU,Europe,ALB,Albania,2006,0,0
EU,Europe,ALB,Albania,2006,0,0
EU,Europe,ALB,Albania,2006,0,0
EU,Europe,ALB,Albania,2006,0,0
EU,Europe,ALB,Albania,2006,0,0
EU,Europe,ALB,Albania,2006,0,0
EU,Europe,ALB,Albania,2005,0,0
EU,Europe,ALB,Albania,2005,0,0
EU,Europe,ALB,Albania,2005,0,0
EU,Europe,ALB,Albania,2005,0,0
EU,Europe,ALB,Albania,2005,0,0
EU,Europe,ALB,Albania,2005,0,0
EU,Europe,ALB,Albania,2005,0,0
EU,Europe,ALB,Albania,2005,0,0
EU,Europe,ALB,Albania,2005,0,0
EU,Europe,ALB,Albania,2005,0,0
EU,Europe,ALB,Albania,2005,0,0
EU,Europe,ALB,Albania,2005,0,0
EU,Europe,ALB,Albania,2005,0,0
EU,Europe,ALB,Albania,2005,0,0
EU,Europe,ALB,Albania,2005,0,0
EU,Europe,ALB,Albania,2005,0,0
EU,Europe,ALB,Albania,2005,0,0
EU,Europe,ALB,Albania,2005,0,0
EU,Europe,ALB,Albania,2005,0,0
EU,Europe,ALB,Albania,2005,0,0
EU,Europe,ALB,Albania,2005,0,0
EU,Europe,ALB,Albania,2005,0,0
EU,Europe,ALB,Albania,2005,0,0
EU,Europe,ALB,Albania,2005,0,0
EU,Europe,ALB,Albania,2005,0,0
EU,Europe,ALB,Albania,2005,0,0
EU,Europe,ALB,Albania,2005,0,0
EU,Europe,ALB,Albania,2005,0,0
EU,Europe,ALB,Albania,2005,0,0
EU,Europe,ALB,Albania,2005,0,0
EU,Europe,ALB,Albania,2005,0,0
EU,Europe,ALB,Albania,2005,0,0
EU,Europe,ALB,Albania,2005,0,0
EU,Europe,ALB,Albania,2005,0,0
EU,Europe,ALB,Albania,2005,0,0
EU,Europe,ALB,Albania,2005,0,0
EU,Europe,ALB,Albania,2005,0,0
EU,Europe,ALB,Albania,2005,0,0
EU,Europe,ALB,Albania,2004,0,0
EU,Europe,ALB,Albania,2004,0,0
EU,Europe,ALB,Albania,2004,0,0
EU,Europe,ALB,Albania,2004,1,63265513
EU,Europe,ALB,Albania,2004,4,251485335
EU,Europe,ALB,Albania,2004,15,1174508468
EU,Europe,ALB,Albania,2004,6,57720613
EU,Europe,ALB,Albania,2004,10,1000110012
EU,Europe,ALB,Albania,2004,10,979652615
EU,Europe,ALB,Albania,2004,11,991357168
EU,Europe,ALB,Albania,2004,12,1204577394
EU,Europe,ALB,Albania,2004,6,758428032
EU,Europe,ALB,Albania,2004,4,64454793
EU,Europe,ALB,Albania,2004,3,501102425
EU,Europe,ALB,Albania,2004,1,198149286
EU,Europe,ALB,Albania,2004,2,574580556
EU,Europe,ALB,Albania,2004,3,1496184729
EU,Europe,ALB,Albania,2004,0,0
